,Year,Number,Function Presentation,Function Type,General Topics,Course Description Topics,Part,Calculator
716,2001,BC1,,,arc length,length of a curve given in parametric form,(c),
717,2001,BC1,,,total change given rate of change,integral of a rate of change to give accumulated change,(d),
718,2001,BC5,analytic,exponential,fundamental theorem,use of the Fundamental Theorem to evaluate definite integrals,(a),closed
719,2001,BC5,,logarithmic,limits,properties of limits,(a),
720,2001,BC5,,,Euler's method,Euler's method,(b),
721,2001,BC5,,,differential equations,solving separable differential equations,(c),
722,2001,BC5,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(c),
723,2001,BC6,analytic,algebraic,series,function defined by power series,(a) (b) (c) (d),closed
724,2001,BC6,,,interval/convergence,interval of convergence of power series,(a),
725,2001,BC6,,,limits,calculating limits using algebra,(b),
726,2001,BC6,,,series,manipulation of series by antidifferentiation,(c),
727,2001,BC6,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(c),
728,2001,BC6,,,fundamental theorem,use of the Fundamental Theorem to evaluate definite integrals,(c),
729,2000,BC6,,,series,geometric series,(d),
730,2000,AB1 BC1,analytic,exponential,area,area of a region,(a) ,active
731,2000,AB1 BC1,,trigonometric,volume,volume of a solid of revolution,(b),
732,2000,AB1 BC1,,,volume-slicing,volume of a solid with known cross section,(c),
733,2000,AB2 BC2,graphical,algebraic,motion on a line,particle motion on a line,(a) (b) (c),active
734,2000,AB2 BC2,analytic,,differentiation,"interpretation of derivative in context of velocity, speed, and acceleration",(a) (b) ,
735,2000,AB2 BC2,,,total change given rate of change,integral of a rate of change to give accumulated change,(c),
736,2000,AB3,graphical,general,"maximum, minimum",local extrema,(a) (b),neutral
737,2000,AB3,,,"derivative, graph of",corresponding characteristics of graphs of f and f',(a) (b),
738,2000,AB3,,,"derivative, graph of","corresponding characteristics of the graphs of f, f', and f''",(c),
739,2000,AB3,,,"maximum, minimum",absolute extrema,(d),
740,2000,AB3,,,total change given rate of change,integral of a rate of change to give accumulated change,(d),
741,2000,AB4,verbal,algebraic,total change given rate of change,integral of a rate of change to give accumulated change,(a) (c),closed
742,2000,AB4,analytic,,integration methods,antiderivatives following directly from derivatives of basic funcions,(a),
743,2000,AB4,,,integration methods,antiderivatives by substitution,(a),
744,2000,AB4,,,fundamental theorem,use of the Fundamental Theorem to evaluate definite integrals,(a),
745,2000,AB4,,,"maximum, minimum",absolute extrema,(d),
746,2000,AB4,,,fundamental theorem,analysis of a function defined by a definite integral using the Fundamental Theorem,(d),
747,2000,AB5 BC5,analytic,algebraic,"differentiation, implicit",implicit differentiation,(a),closed
748,2000,AB5 BC5,,,differentiation,derivative of basic functions,(a),
749,2000,AB5 BC5,,,differentiation,chain rule,(a),
750,2000,AB5 BC5,,,tangents,tangent line to a curve at a point,(b),
751,2000,AB5 BC5,,,tangents,vertical tangents,(c),
752,2000,AB6,analytic,exponential,differential equations,solving separable differential equations,(a),closed
753,2000,AB6,,algebraic,integration methods,antiderivatives following directly from derivatives of basic funcions,(a),
754,2000,AB6,,,integration methods,antiderivatives by substitution,(a),
755,2000,AB6,,,precalculus,domain of a function,(b),
756,2000,AB6,,,precalculus,range of a function,(b),
757,2000,BC3,analytic,algebraic,series,Taylor polynomial approximation,(a),active
758,2000,BC3,,,interval/convergence,radius of convergence,(b),
759,2000,BC3,,,series,alternating series with error bound,(c),
760,2000,BC4,analytic,algebraic,parametric equations,analysis of planar curve given in parametric form,(a) (b) (c) (d),closed
761,2000,BC4,,,vectors,acceleration vector,(a),
762,2000,BC4,,,anti-differentiation (initial conditions),finding specific antiderivatives using initial conditions,(b),
763,2000,BC4,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(b),
764,2000,BC4,,,differentiation,derivative of parametric function,(c),
765,2000,BC4,,,limits,describing asymptotic behavior in terms of limits at infinity,(d),
766,2000,BC6,analytic,algebraic,slope fields,slope fields,(a),closed
767,2000,BC6,,,slope fields,relationship between slope fields and solution curves for differential equations,(b),
768,2000,BC6,,,differential equations,solving separable differential equations ,(c),
769,2000,BC6,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(c) ,
770,2000,BC6,,,integration methods,antiderivatives by substitution,(c),
771,1999,BC6,,,precalculus,range of a function,(d),
772,1999,AB1,analytic,trigonometric,motion on a line,particle motion on a line,(a) (b) (c),active
773,1999,AB1,,,differentiation,"interpretation of derivative in context of velocity, speed, and acceleration",,
774,1999,AB1,,,anti-differentiation (initial conditions),finding specific antiderivatives using initial conditions,(c),
775,1999,AB1,,,distance,distance traveled by a particle along a line,(d),
776,1999,AB2 BC2,analytic,algebraic,area,area of a region,(a),neutral
777,1999,AB2 BC2,,,volume,volume of a solid of revolution,(b) (c),
778,1999,AB3 BC3,tabular,general,Riemann sums,computation of midpoint Riemann Sum,(a),active
779,1999,AB3 BC3,,algebraic,total change given rate of change,integral of a rate of change to give accumulated change,(a),
780,1999,AB3 BC3,,,mean value theorem,Mean Value Theorem,(b),
781,1999,AB3 BC3,,,average value,average value of a function,(c),
782,1999,AB3 BC3,,,definite integral,interpretation of definite integrals,(c),
783,1999,AB4,analytic,exponential,tangents,tangent line to a curve at a point,(a) (c),neutral
784,1999,AB4,,,points of inflection,point of inflection,(b),
785,1999,AB4,,,differentiation,derivative of basic functions,(d),
786,1999,AB4,,,differentiation,chain rule,(d),
787,1999,AB4,,,"maximum, minimum",local extrema,(d),
788,1999,AB5 BC5,graphical,general,total change given rate of change,definite integral of a rate of change over an interval,(a),neutral
789,1999,AB5 BC5,,,fundamental theorem,accumulation function/Fundamental Theorem,(b),
790,1999,AB5 BC5,,,fundamental theorem,analysis of a function defined by a definite integral using the Fundamental Theorem,(c) (d),
791,1999,AB5 BC5,,,"maximum, minimum",absolute extrema,(c),
792,1999,AB5 BC5,,,points of inflection,point of inflection,(d),
793,1999,AB6,analytic,algebraic,tangents,tangent line to a curve at a point,(a),neutral
794,1999,AB6,,,related rates,related rates,(c) (d),
795,1999,AB6,,,differentiation,interpretation of derivative as a rate of change,(d),
796,1999,BC1,analytic,logarithmic,parametric equations,analysis of planar curve given in parametric form,(a) (b) (c),active
797,1999,BC1,,trigonometric,"maximum, minimum",local extrema,(b),
798,1999,BC1,,,vectors,speed,(c),
799,1999,BC1,,,vectors,acceleration vector,(d),
800,1999,BC4,analytic,general,series,Taylor polynomial approximation,(a),neutral
801,1999,BC4,,,series,Lagrange error bound,(b),
802,1999,BC4,,,series,manipulation of Taylor series to form new series from known series,(c),
803,1999,BC4,,,"maximum, minimum",local extrema,(c),
804,1999,BC6,analytic,exponential,tangents,tangent line to a curve at a point,(a),active
805,1999,BC6,,,tangents,local linear approximation,(a),
806,1999,BC6,,,Euler's method,Euler's method,(b),
807,1998,BC6,,,fundamental theorem,use of the Fundamental Theorem to evaluate definite integrals,(c),
808,1998,AB1,analytic,algebraic,area,area of a region,(a) (b),neutral
809,1998,AB1,,,volume,volume of a solid of revolution,(c) (d),
810,1998,AB2 BC2,analytic,exponential,limits,limits of functions,(a),neutral
811,1998,AB2 BC2,,,"maximum, minimum",absolute extrema,(b) (d),
812,1998,AB2 BC2,,,differentiation,derivative of basic functions,(b) (d),
813,1998,AB2 BC2,,,differentiation,chain rule,(b) (d),
814,1998,AB2 BC2,,,precalculus,range of a function,(c),
815,1998,AB3,graphical,general,motion on a line,particle motion on a line,(a) (b) (c) (d),neutral
816,1998,AB3,tabular,,differentiation,"interpretation of derivative in context of velocity, speed, and acceleration",(a),
817,1998,AB3,,,average rate of change,average rate of change,(b),
818,1998,AB3,,,"derivative, definition",approximate rate of change from graphs and tables of values,(c),
819,1998,AB3,,,Riemann sums,computation of midpoint Riemann Sum,(d),
820,1998,AB3,,,distance,distance traveled by a particle along a line,(d),
821,1998,AB3,,,definite integral,interpretation of definite integrals,(d),
822,1998,AB4,analytic,algebraic,tangents,slope of a curve at a point,(a),active
823,1998,AB4,,,tangents,tangent line to a curve at a point,(b),
824,1998,AB4,,,differential equations,solving separable differential equations,(c),
825,1998,AB4,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(c),
826,1998,AB5 BC5,analytic,trigonometric,average value,average value of a function,(b),active
827,1998,AB5 BC5,,,total change given rate of change,integral of a rate of change to give accumulated change,(c),
828,1998,AB6,analytic,algebraic,differentiation,derivative of basic functions,(a),neutral
829,1998,AB6,,,"differentiation, implicit",implicit differentiation,(a),
830,1998,AB6,,,differentiation,chain rule,(a),
831,1998,AB6,,,tangents,tangent line to a curve at a point,(b) (c),
832,1998,AB6,,,tangents,horizontal tangents,(b),
833,1998,BC1,analytic,algebraic,area,area of a region,(a),active
834,1998,BC1,,,volume,volume of a solid of revolution,(b) (c),
835,1998,BC3,analytic,general,series,Taylor polynomial approximation,(a),neutral
836,1998,BC3,,,series,manipulation of Taylor series to form new series from known series,(b) (c),
837,1998,BC4,analytic,algebraic,slope fields,slope fields,(a),active
838,1998,BC4,,,Euler's method,Euler's method,(b),
839,1998,BC4,,,differential equations,solving separable differential equations,(c),
840,1998,BC4,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(c),
841,1998,BC6,analytic,algebraic,differential equations,solving separable differential equations,(a),neutral
842,1998,BC6,,,integration methods,antiderivatives following directly from derivatives of basic funcions,(a),
843,1998,BC6,,,integration methods,antiderivatives by substitution,(a),
844,1998,BC6,,,differentiation,derivative of basic functions,(b),
845,1998,BC6,,,differentiation,chain rule,(b),
